Type,Strategy,Price,Tick Time,Signal Time,Confirm Time,Result,Digit,Desc,RSI,ADX,BBW,Intensity,Epsilon,Accel,SLow,SHigh,Trend,Dir,Streak,Mean,Std,Conf RSI,Conf ADX,Conf BBW,Conf Int,Conf Eps,Conf Accel,Conf SLow,Conf SHigh
TICK,unleashed,7900.40,1775159958,,,-,,,50,0,0,0,0,0,0,0,7900.4,0,0,0,0,,,,,,,,
TICK,unleashed,7900.30,1775159959,,,-,,,50,0,0,1.55448468832582,-1,0,0,0,7900.371428571429,-1,1,0,0,,,,,,,,
TICK,unleashed,7900.40,1775159960,,,-,,,50,0,0,1.327668613913967,2,0,0,0,7900.379591836735,1,1,0,0,,,,,,,,
TICK,unleashed,7900.50,1775159961,,,-,,,50,0,0,1.5246226558926668,0,0,0,0,7900.413994169097,1,2,0,0,,,,,,,,
TICK,unleashed,7900.40,1775159962,,,-,,,50,0,0,1.3515339910798756,-2,0,0,0,7900.40999583507,-1,1,0,0,,,,,,,,
TICK,unleashed,7900.30,1775159963,,,-,,,50,0,0,1.4682131845543973,0,0,0,0,7900.3785684536215,-1,2,0,0,,,,,,,,
TICK,unleashed,7900.40,1775159964,,,-,,,50,0,0,1.3239772275916855,2,0,0,0,7900.384691752587,1,1,0,0,,,,,,,,
TICK,unleashed,7900.30,1775159965,,,-,,,50,0,0,1.5733165512901197,-2,0,0,0,7900.360494108991,-1,1,0,0,,,,,,,,
TICK,unleashed,7900.40,1775159966,,,-,,,50,0,0,1.3301409949454641,2,0,0,0,7900.371781506422,1,1,0,0,,,,,,,,
TICK,unleashed,7900.30,1775159967,,,-,,,50,0,0,1.5377518068583729,-2,-0.04,0.000598755362452361,0.001220083997570971,7900.3512725045875,-1,1,0.000909419680011666,0.00031066431755930507,,,,,,,,
TICK,unleashed,7900.40,1775159968,,,-,,,50,0,0.25684521177562913,0.9595133778377724,2,0.04,0.0006096766021242916,0.0012024683340860355,7900.365194646134,1,1,0.0009060724681051635,0.0002963958659808719,,,,,,,,
TICK,unleashed,7900.30,1775159969,,,-,,,50,0,0.2727365663608099,1.298428800839302,-2,0,0.0006351523807819978,0.0012220589087833513,7900.346567604382,-1,1,0.0009286056447826745,0.00029345326400067673,,,,,,,,
TICK,unleashed,7900.20,1775159970,,,-,,,50,0,0.36584688409153937,0.9675502207356036,0,-0.04,0.0006442326262403059,0.0012083428097562938,7900.304691145987,-1,2,0.0009262877179982998,0.0002820550917579939,,,,,,,,
TICK,unleashed,7900.10,1775159971,,,-,,,50,0,0.5257039055988287,1.2157411830523623,0,0,0.0006639369719869982,0.0012171868080278624,7900.24620796142,-1,3,0.0009405618900074303,0.00027662491802043213,,,,,,,,
TICK,unleashed,7900.20,1775159972,,,-,,,42.857142857124295,14.28571428575141,0.48708314322860374,0.9157573274789894,2,0,0.0006673045853055628,0.0012032544684045462,7900.233005686729,1,1,0.0009352795268550545,0.0002679749415494917,,,,,,,,
TICK,unleashed,7900.10,1775159973,,,-,,,42.857142857124295,14.285714285751409,0.5355255847667426,1.297571686499437,-2,0,0.0006846051223923628,0.0012207430195870779,7900.195004061949,-1,1,0.0009526740709897203,0.0002680689485973576,,,,,,,,
